team_name,1,2,3,4,5,6,7,8,9,10,11,12,13
stlouis_rams,1,0,1,0,0,1,1,0,1,0,0,1,1
feast_on_the_fridge,0,1,1,1,1,1,0,0,1,0,1,0,1
incredibly_old_bloke,0,1,1,0,0,0,1,0,0,1,1,1,1
foles_in_one,1,0,0,1,1,0,0,1,0,1,0,1,1
dobbys_socks,0,0,0,0,1,1,0,0,0,0,0,0,0
darth_plagueis_the_wise,1,1,0,0,1,0,0,1,1,0,1,0,1
sexual_thielen,0,1,1,1,0,1,1,1,0,1,1,1,0
insane_clowney_posse,1,1,0,1,0,1,1,1,0,1,0,0,1
ginn_and_juice,0,0,0,0,0,0,1,0,1,1,0,1,0
easy_drake_oven,0,0,1,0,1,0,0,0,0,0,1,0,0
pop_it_and_lockett,1,1,0,1,0,0,1,1,1,0,0,0,0
keep_calm_and_kerryon,1,0,1,1,1,1,0,1,1,1,1,1,0
